node_index,transcript_id,protein_id,split,is_labeled,seed,species,task,target_column
137,ENSMUST00000002436,ENSMUSP00000002436,train,True,24,mouse,known,NC3
138,ENSMUST00000002452,ENSMUSP00000002452,train,True,24,mouse,known,NC3
139,ENSMUST00000002466,ENSMUSP00000002466,train,True,24,mouse,known,NC3
140,ENSMUST00000002473,ENSMUSP00000002473,train,True,24,mouse,known,NC3
141,ENSMUST00000002487,ENSMUSP00000002487,val,True,24,mouse,known,NC3
142,ENSMUST00000002551,ENSMUSP00000002551,test,True,24,mouse,known,NC3
143,ENSMUST00000002572,ENSMUSP00000002572,train,True,24,mouse,known,NC3
144,ENSMUST00000002599,ENSMUSP00000002599,train,True,24,mouse,known,NC3
145,ENSMUST00000002603,ENSMUSP00000002603,train,True,24,mouse,known,NC3
146,ENSMUST00000002625,ENSMUSP00000002625,train,True,24,mouse,known,NC3
147,ENSMUST00000002655,nan,train,True,24,mouse,known,NC3
148,ENSMUST00000002677,ENSMUSP00000002677,test,True,24,mouse,known,NC3
149,ENSMUST00000002683,ENSMUSP00000002683,train,True,24,mouse,known,NC3
150,ENSMUST00000002699,ENSMUSP00000002699,train,True,24,mouse,known,NC3
151,ENSMUST00000002710,ENSMUSP00000002710,train,True,24,mouse,known,NC3
152,ENSMUST00000002733,ENSMUSP00000002733,train,True,24,mouse,known,NC3
153,ENSMUST00000002735,ENSMUSP00000002735,val,True,24,mouse,known,NC3
154,ENSMUST00000002737,ENSMUSP00000002737,train,True,24,mouse,known,NC3
155,ENSMUST00000002757,ENSMUSP00000002757,train,True,24,mouse,known,NC3
156,ENSMUST00000002790,ENSMUSP00000002790,train,True,24,mouse,known,NC3
157,ENSMUST00000002805,ENSMUSP00000002805,train,True,24,mouse,known,NC3
158,ENSMUST00000002808,ENSMUSP00000002808,val,True,24,mouse,known,NC3
159,ENSMUST00000002809,ENSMUSP00000002809,val,True,24,mouse,known,NC3
160,ENSMUST00000002818,ENSMUSP00000002818,train,True,24,mouse,known,NC3
161,ENSMUST00000002825,ENSMUSP00000002825,train,True,24,mouse,known,NC3
162,ENSMUST00000002837,ENSMUSP00000002837,train,True,24,mouse,known,NC3
163,ENSMUST00000002840,ENSMUSP00000002840,train,True,24,mouse,known,NC3
164,ENSMUST00000002844,ENSMUSP00000002844,train,True,24,mouse,known,NC3
165,ENSMUST00000002885,ENSMUSP00000002885,train,True,24,mouse,known,NC3
166,ENSMUST00000002889,ENSMUSP00000002889,val,True,24,mouse,known,NC3
167,ENSMUST00000002891,ENSMUSP00000002891,train,True,24,mouse,known,NC3
168,ENSMUST00000002902,ENSMUSP00000002902,train,True,24,mouse,known,NC3
169,ENSMUST00000002914,ENSMUSP00000002914,val,True,24,mouse,known,NC3
170,ENSMUST00000002923,ENSMUSP00000002923,test,True,24,mouse,known,NC3
171,ENSMUST00000002925,ENSMUSP00000002925,train,True,24,mouse,known,NC3
172,ENSMUST00000002976,ENSMUSP00000002976,train,True,24,mouse,known,NC3
173,ENSMUST00000003029,ENSMUSP00000003029,train,True,24,mouse,known,NC3
174,ENSMUST00000003035,ENSMUSP00000003035,train,True,24,mouse,known,NC3
175,ENSMUST00000003038,ENSMUSP00000003038,train,True,24,mouse,known,NC3
176,ENSMUST00000003044,ENSMUSP00000003044,train,True,24,mouse,known,NC3
177,ENSMUST00000003061,ENSMUSP00000003061,train,True,24,mouse,known,NC3
178,ENSMUST00000003117,ENSMUSP00000003117,val,True,24,mouse,known,NC3
179,ENSMUST00000003121,ENSMUSP00000003121,train,True,24,mouse,known,NC3
180,ENSMUST00000003123,ENSMUSP00000003123,train,True,24,mouse,known,NC3
181,ENSMUST00000003152,ENSMUSP00000003152,train,True,24,mouse,known,NC3
182,ENSMUST00000003156,ENSMUSP00000003156,train,True,24,mouse,known,NC3
183,ENSMUST00000003183,ENSMUSP00000003183,train,True,24,mouse,known,NC3
184,ENSMUST00000003268,ENSMUSP00000003268,train,True,24,mouse,known,NC3
185,ENSMUST00000003310,ENSMUSP00000003310,train,True,24,mouse,known,NC3
186,ENSMUST00000003319,ENSMUSP00000003319,val,True,24,mouse,known,NC3
187,ENSMUST00000003320,ENSMUSP00000003320,train,True,24,mouse,known,NC3
188,ENSMUST00000003386,ENSMUSP00000003386,val,True,24,mouse,known,NC3
189,ENSMUST00000003438,ENSMUSP00000003438,train,True,24,mouse,known,NC3
190,ENSMUST00000003445,ENSMUSP00000003445,test,True,24,mouse,known,NC3
191,ENSMUST00000003450,ENSMUSP00000003450,train,True,24,mouse,known,NC3
192,ENSMUST00000003461,ENSMUSP00000003461,val,True,24,mouse,known,NC3
193,ENSMUST00000003513,ENSMUSP00000003513,train,True,24,mouse,known,NC3
194,ENSMUST00000003521,ENSMUSP00000003521,train,True,24,mouse,known,NC3
195,ENSMUST00000003529,ENSMUSP00000003529,train,True,24,mouse,known,NC3
196,ENSMUST00000003536,ENSMUSP00000003536,train,True,24,mouse,known,NC3
197,ENSMUST00000003544,ENSMUSP00000003544,val,True,24,mouse,known,NC3
198,ENSMUST00000003550,ENSMUSP00000003550,train,True,24,mouse,known,NC3
199,ENSMUST00000003572,ENSMUSP00000003572,train,True,24,mouse,known,NC3
200,ENSMUST00000003575,ENSMUSP00000003575,val,True,24,mouse,known,NC3
201,ENSMUST00000003621,ENSMUSP00000003621,train,True,24,mouse,known,NC3
202,ENSMUST00000003622,ENSMUSP00000003622,train,True,24,mouse,known,NC3
203,ENSMUST00000003635,ENSMUSP00000003635,train,True,24,mouse,known,NC3
204,ENSMUST00000003655,ENSMUSP00000003655,train,True,24,mouse,known,NC3
205,ENSMUST00000003669,ENSMUSP00000003669,train,True,24,mouse,known,NC3
206,ENSMUST00000003681,ENSMUSP00000003681,train,True,24,mouse,known,NC3
207,ENSMUST00000003705,ENSMUSP00000003705,train,True,24,mouse,known,NC3
208,ENSMUST00000003720,ENSMUSP00000003720,train,True,24,mouse,known,NC3
209,ENSMUST00000003726,ENSMUSP00000003726,train,True,24,mouse,known,NC3
210,ENSMUST00000003759,ENSMUSP00000003759,test,True,24,mouse,known,NC3
211,ENSMUST00000003860,ENSMUSP00000003860,train,True,24,mouse,known,NC3
212,ENSMUST00000003876,ENSMUSP00000003876,test,True,24,mouse,known,NC3
213,ENSMUST00000003906,ENSMUSP00000003906,train,True,24,mouse,known,NC3
214,ENSMUST00000003907,ENSMUSP00000003907,train,True,24,mouse,known,NC3
215,ENSMUST00000003910,ENSMUSP00000003910,train,True,24,mouse,known,NC3
216,ENSMUST00000003912,ENSMUSP00000003912,train,True,24,mouse,known,NC3
217,ENSMUST00000003946,ENSMUSP00000003946,test,True,24,mouse,known,NC3
218,ENSMUST00000003947,ENSMUSP00000003947,train,True,24,mouse,known,NC3
219,ENSMUST00000003964,ENSMUSP00000003964,train,True,24,mouse,known,NC3
220,ENSMUST00000004054,ENSMUSP00000004054,train,True,24,mouse,known,NC3
221,ENSMUST00000004057,ENSMUSP00000004057,train,True,24,mouse,known,NC3
222,ENSMUST00000004072,ENSMUSP00000004072,test,True,24,mouse,known,NC3
223,ENSMUST00000004094,ENSMUSP00000004094,train,True,24,mouse,known,NC3
224,ENSMUST00000004134,ENSMUSP00000004134,train,True,24,mouse,known,NC3
225,ENSMUST00000004140,ENSMUSP00000004140,train,True,24,mouse,known,NC3
226,ENSMUST00000004173,ENSMUSP00000004173,train,True,24,mouse,known,NC3
227,ENSMUST00000004202,ENSMUSP00000004202,val,True,24,mouse,known,NC3
228,ENSMUST00000004203,ENSMUSP00000004203,test,True,24,mouse,known,NC3
229,ENSMUST00000004206,ENSMUSP00000004206,val,True,24,mouse,known,NC3
230,ENSMUST00000004222,ENSMUSP00000004222,val,True,24,mouse,known,NC3
231,ENSMUST00000004327,ENSMUSP00000004327,val,True,24,mouse,known,NC3
232,ENSMUST00000004330,ENSMUSP00000004330,test,True,24,mouse,known,NC3
233,ENSMUST00000004343,ENSMUSP00000004343,train,True,24,mouse,known,NC3
234,ENSMUST00000004375,ENSMUSP00000004375,train,True,24,mouse,known,NC3
235,ENSMUST00000004377,ENSMUSP00000004377,train,True,24,mouse,known,NC3
236,ENSMUST00000004378,ENSMUSP00000004378,train,True,24,mouse,known,NC3
237,ENSMUST00000004379,ENSMUSP00000004379,val,True,24,mouse,known,NC3
238,ENSMUST00000004381,ENSMUSP00000004381,train,True,24,mouse,known,NC3
239,ENSMUST00000004389,ENSMUSP00000004389,train,True,24,mouse,known,NC3
240,ENSMUST00000004396,ENSMUSP00000004396,val,True,24,mouse,known,NC3
241,ENSMUST00000004430,ENSMUSP00000004430,train,True,24,mouse,known,NC3
242,ENSMUST00000004470,ENSMUSP00000004470,val,True,24,mouse,known,NC3
243,ENSMUST00000004494,ENSMUSP00000004494,val,True,24,mouse,known,NC3
244,ENSMUST00000004507,ENSMUSP00000004507,train,True,24,mouse,known,NC3
245,ENSMUST00000004508,ENSMUSP00000004508,val,True,24,mouse,known,NC3
246,ENSMUST00000004565,ENSMUSP00000004565,train,True,24,mouse,known,NC3
247,ENSMUST00000004646,ENSMUSP00000004646,train,True,24,mouse,known,NC3
248,ENSMUST00000004683,ENSMUSP00000004683,train,True,24,mouse,known,NC3
249,ENSMUST00000004715,ENSMUSP00000004715,train,True,24,mouse,known,NC3
250,ENSMUST00000004729,ENSMUSP00000004729,train,True,24,mouse,known,NC3
251,ENSMUST00000004756,ENSMUSP00000004756,test,True,24,mouse,known,NC3
252,ENSMUST00000004784,ENSMUSP00000004784,train,True,24,mouse,known,NC3
253,ENSMUST00000004786,ENSMUSP00000004786,train,True,24,mouse,known,NC3
254,ENSMUST00000004910,ENSMUSP00000004910,train,True,24,mouse,known,NC3
255,ENSMUST00000004949,ENSMUSP00000004949,test,True,24,mouse,known,NC3
256,ENSMUST00000004955,ENSMUSP00000004955,val,True,24,mouse,known,NC3
257,ENSMUST00000004965,ENSMUSP00000004965,train,True,24,mouse,known,NC3
258,ENSMUST00000004968,ENSMUSP00000004968,val,True,24,mouse,known,NC3
259,ENSMUST00000005003,ENSMUSP00000005003,test,True,24,mouse,known,NC3
260,ENSMUST00000005014,ENSMUSP00000005014,train,True,24,mouse,known,NC3
261,ENSMUST00000005015,ENSMUSP00000005015,val,True,24,mouse,known,NC3
262,ENSMUST00000005057,ENSMUSP00000005057,train,True,24,mouse,known,NC3
263,ENSMUST00000005064,ENSMUSP00000005064,train,True,24,mouse,known,NC3
264,ENSMUST00000005066,ENSMUSP00000005066,val,True,24,mouse,known,NC3
265,ENSMUST00000005067,ENSMUSP00000005067,train,True,24,mouse,known,NC3
266,ENSMUST00000005077,ENSMUSP00000005077,train,True,24,mouse,known,NC3
267,ENSMUST00000005108,ENSMUSP00000005108,val,True,24,mouse,known,NC3
268,ENSMUST00000005164,ENSMUSP00000005164,train,True,24,mouse,known,NC3
269,ENSMUST00000005173,ENSMUSP00000005173,train,True,24,mouse,known,NC3
270,ENSMUST00000005185,ENSMUSP00000005185,train,True,24,mouse,known,NC3
271,ENSMUST00000005218,ENSMUSP00000005218,test,True,24,mouse,known,NC3
272,ENSMUST00000005233,ENSMUSP00000005233,train,True,24,mouse,known,NC3
273,ENSMUST00000005234,ENSMUSP00000005234,train,True,24,mouse,known,NC3
274,ENSMUST00000005256,ENSMUSP00000005256,train,True,24,mouse,known,NC3
275,ENSMUST00000005336,ENSMUSP00000005336,train,True,24,mouse,known,NC3
276,ENSMUST00000005394,ENSMUSP00000005394,train,True,24,mouse,known,NC3
277,ENSMUST00000005431,ENSMUSP00000005431,train,True,24,mouse,known,NC3
278,ENSMUST00000005503,ENSMUSP00000005503,test,True,24,mouse,known,NC3
279,ENSMUST00000005504,ENSMUSP00000005504,train,True,24,mouse,known,NC3
280,ENSMUST00000005532,ENSMUSP00000005532,val,True,24,mouse,known,NC3
281,ENSMUST00000005548,ENSMUSP00000005548,val,True,24,mouse,known,NC3
282,ENSMUST00000005583,ENSMUSP00000005583,test,True,24,mouse,known,NC3
283,ENSMUST00000005600,ENSMUSP00000005600,train,True,24,mouse,known,NC3
284,ENSMUST00000005606,ENSMUSP00000005606,train,True,24,mouse,known,NC3
285,ENSMUST00000005607,ENSMUSP00000005607,train,True,24,mouse,known,NC3
286,ENSMUST00000005620,ENSMUSP00000005620,train,True,24,mouse,known,NC3
287,ENSMUST00000005647,ENSMUSP00000005647,train,True,24,mouse,known,NC3
288,ENSMUST00000005651,ENSMUSP00000005651,train,True,24,mouse,known,NC3
289,ENSMUST00000005671,ENSMUSP00000005671,train,True,24,mouse,known,NC3
290,ENSMUST00000005705,ENSMUSP00000005705,train,True,24,mouse,known,NC3
291,ENSMUST00000005711,ENSMUSP00000005711,train,True,24,mouse,known,NC3
292,ENSMUST00000005714,ENSMUSP00000005714,test,True,24,mouse,known,NC3
293,ENSMUST00000005749,ENSMUSP00000005749,train,True,24,mouse,known,NC3
294,ENSMUST00000005798,ENSMUSP00000005798,test,True,24,mouse,known,NC3
295,ENSMUST00000005810,ENSMUSP00000005810,train,True,24,mouse,known,NC3
296,ENSMUST00000005817,ENSMUSP00000005817,train,True,24,mouse,known,NC3
297,ENSMUST00000005825,ENSMUSP00000005825,train,True,24,mouse,known,NC3
298,ENSMUST00000005826,ENSMUSP00000005826,train,True,24,mouse,known,NC3
299,ENSMUST00000005830,ENSMUSP00000005830,train,True,24,mouse,known,NC3
300,ENSMUST00000005841,ENSMUSP00000005841,train,True,24,mouse,known,NC3
301,ENSMUST00000005923,ENSMUSP00000005923,train,True,24,mouse,known,NC3
302,ENSMUST00000005954,ENSMUSP00000005954,val,True,24,mouse,known,NC3
303,ENSMUST00000005964,ENSMUSP00000005964,train,True,24,mouse,known,NC3
304,ENSMUST00000006027,ENSMUSP00000006027,train,True,24,mouse,known,NC3
305,ENSMUST00000006037,ENSMUSP00000006037,train,True,24,mouse,known,NC3
306,ENSMUST00000006053,ENSMUSP00000006053,val,True,24,mouse,known,NC3
307,ENSMUST00000006112,ENSMUSP00000006112,test,True,24,mouse,known,NC3
308,ENSMUST00000006123,ENSMUSP00000006123,train,True,24,mouse,known,NC3
309,ENSMUST00000006128,ENSMUSP00000006128,train,True,24,mouse,known,NC3
310,ENSMUST00000006137,ENSMUSP00000006137,train,True,24,mouse,known,NC3
311,ENSMUST00000006178,ENSMUSP00000006178,test,True,24,mouse,known,NC3
312,ENSMUST00000006181,ENSMUSP00000006181,test,True,24,mouse,known,NC3
313,ENSMUST00000006217,ENSMUSP00000006217,test,True,24,mouse,known,NC3
314,ENSMUST00000006221,ENSMUSP00000006221,val,True,24,mouse,known,NC3
315,ENSMUST00000006235,ENSMUSP00000006235,train,True,24,mouse,known,NC3
316,ENSMUST00000006254,ENSMUSP00000006254,train,True,24,mouse,known,NC3
317,ENSMUST00000006286,ENSMUSP00000006286,val,True,24,mouse,known,NC3
318,ENSMUST00000006293,ENSMUSP00000006293,train,True,24,mouse,known,NC3
319,ENSMUST00000006301,ENSMUSP00000006301,train,True,24,mouse,known,NC3
320,ENSMUST00000006353,ENSMUSP00000006353,val,True,24,mouse,known,NC3
321,ENSMUST00000006367,ENSMUSP00000006367,train,True,24,mouse,known,NC3
322,ENSMUST00000006391,ENSMUSP00000006391,test,True,24,mouse,known,NC3
323,ENSMUST00000006392,ENSMUSP00000006392,test,True,24,mouse,known,NC3
324,ENSMUST00000006435,ENSMUSP00000006435,train,True,24,mouse,known,NC3
325,ENSMUST00000006444,ENSMUSP00000006444,train,True,24,mouse,known,NC3
326,ENSMUST00000006451,ENSMUSP00000006451,train,True,24,mouse,known,NC3
327,ENSMUST00000006470,ENSMUSP00000006470,train,True,24,mouse,known,NC3
328,ENSMUST00000006544,ENSMUSP00000006544,test,True,24,mouse,known,NC3
329,ENSMUST00000006557,ENSMUSP00000006557,train,True,24,mouse,known,NC3
330,ENSMUST00000006559,ENSMUSP00000006559,val,True,24,mouse,known,NC3
331,ENSMUST00000006565,ENSMUSP00000006565,train,True,24,mouse,known,NC3
332,ENSMUST00000006611,ENSMUSP00000006611,val,True,24,mouse,known,NC3
333,ENSMUST00000006614,ENSMUSP00000006614,val,True,24,mouse,known,NC3
334,ENSMUST00000006625,ENSMUSP00000006625,train,True,24,mouse,known,NC3
335,ENSMUST00000006626,ENSMUSP00000006626,train,True,24,mouse,known,NC3
336,ENSMUST00000006629,ENSMUSP00000006629,train,True,24,mouse,known,NC3
337,ENSMUST00000006669,ENSMUSP00000006669,train,True,24,mouse,known,NC3
338,ENSMUST00000006692,ENSMUSP00000006692,train,True,24,mouse,known,NC3
339,ENSMUST00000006697,ENSMUSP00000006697,test,True,24,mouse,known,NC3
